article_id,Author,Gender
807,Варьяш,ж
808,Герцман,м
809,Денисенко,м
810,Колесницкий,м
811,Котельникова,ж
812,Кудрявцев,м
813,Левин,м
814,Леонова,ж
815,Малинин,м
816,Малов,м
817,Мильская,ж
818,Молдавская,ж
819,Осипова,ж
820,"Павуланс, Ролова",—
821,Серовайский,м
822,Уколова,ж
823,Уколова,ж
824,Чиколини,ж
825,Чиколини,ж
826,Чистозвонов,м
827,Бессмертный,м
828,Бойцов,м
829,Варьяш,ж
830,Горский,м
831,Гутнова,ж
832,Гутнова,ж
833,Котельникова,ж
834,Котельникова,ж
835,Кудрявцев,м
836,Логутова,ж
837,Луковцева,ж
838,Павлова,ж
839,Ревякина,ж
840,Редколлегия,—
841,Ронин,м
842,Серовайская,ж
843,Ульянов,м
844,Черных,м
845,Чиколини,ж
846,Штекли,м
847,Юсим,м
848,Бессмертный,м
849,Гутнова,ж
850,Гутнова,ж
851,Жумагулов,м
852,Заборов,м
853,Котельникова,ж
854,Мильская,ж
855,Осипова,ж
856,Ролова,ж
857,Рутенбург,м
858,Сванидзе,ж
859,Серовайский,м
860,Уваров,м
861,Уколова,ж
862,Ульянов,м
863,Хачатурян,ж
864,Чиколини,ж
865,Чистозвонов,м
866,Чудинов,м
867,Штекли,м
868,А.Я.,—
869,А.Я.,—
870,Абрамсон,ж
871,Басовская,ж
872,Безрогов,м
873,Бессмертный,м
874,Блонин,м
875,Богодарова,ж
876,Варьяш,ж
877,Ведюшкин,м
878,Гусакова,ж
879,Денисенко,м
880,Егорова,ж
881,Елина,ж
882,Коган,м
883,Корсакова,ж
884,Лучицкая,ж
885,Мильская,ж
886,Мироненко,ж
887,Пичугина,ж
888,Пичугина,ж
889,Попова,ж
890,Редколлегия,—
891,Редколлегия,—
892,Сванидзе,ж
893,Серовайский,м
894,Уваров,м
895,Филиппов,м
896,Фролова,ж
897,Цатурова,ж
898,Ястребицкая,ж
899,Басовская,ж
900,Близнюк,ж
901,Блонин,м
902,Богодарова,ж
903,Бойцов,м
904,Буданова,ж
905,Генералова,ж
906,Гутнова,ж
907,Егорова,ж
908,Ефимова,ж
909,Каняшин,м
910,Круш,м
911,Кудрявцев,м
912,Кучумов,м
913,Мельникова,ж
914,Назаренко,м
915,Редколлегия,—
916,Ролова,ж
917,Сванидзе,ж
918,Сергеева,ж
919,Уваров,м
920,Фролова,ж
921,Черных,м
922,Черных,м
923,Черных,м
924,Чиколини,ж
925,Чистозвонов,м
926,Шушарин,м
927,Басовская,ж
928,Брагина,ж
929,Варьяш,ж
930,Варьяш,ж
931,Варьяш,ж
932,Винокурова,ж
933,Винокурова,ж
934,Винокурова,ж
935,Винокурова,ж
936,Голубцова,ж
937,Гутнова,ж
938,Дрбоглав,м
939,Лебедева,ж
940,Мельникова,ж
941,Пушкарёва,ж
942,Репина,ж
943,Ролова,ж
944,"С.Л., П.Г.",—
945,Сванидзе,ж
946,Сыч,м
947,Тушина,ж
948,Уваров,м
949,Федосов,м
950,Хачатурян,ж
951,Черных,м
952,Шарова,ж
953,Шушарин,м
954,Юсим,м
955,Юсим,м
956,"Алтухова, Цатурова",—
957,Гуревич,м
958,Домнина,ж
959,Каганович,м
960,Казбекова,ж
961,Кобрин,м
962,Мереминский,м
963,Подаляк,ж
